username,rating_count,percentage
Rian Andriana Hidayat,2,0.005168359304338838
aan ganjar Permana,2,0.005168359304338838
Dona ototex,2,0.005168359304338838
Hasmiw Riders,2,0.005168359304338838
She Lan,2,0.005168359304338838
N Wahyudi Salasa,2,0.005168359304338838
Ifan Arif Rahman,2,0.005168359304338838
Indri Lestiati,2,0.005168359304338838
edward indrawiguna,2,0.005168359304338838
Cicin Kuraesin,2,0.005168359304338838
Winda Ayu Ghaniyah,2,0.005168359304338838
Agus Sutisna,2,0.005168359304338838
putri dianita,2,0.005168359304338838
Agustina Aa,2,0.005168359304338838
dudi apriadi,2,0.005168359304338838
Denni Kusuma,2,0.005168359304338838
lestari utaminingtyas,2,0.005168359304338838
Dey Elvanda Oey,2,0.005168359304338838
Muhtar Gunawan,2,0.005168359304338838
Safiah Zuhra,2,0.005168359304338838
Ranny Adhalia,2,0.005168359304338838
Asep “Barja” Subarja,2,0.005168359304338838
Pucuk Cau (Borokokok),2,0.005168359304338838
Gunawan Gunawan,2,0.005168359304338838
Marthy Fathimah,2,0.005168359304338838
Muhammad Romzi,2,0.005168359304338838
A Jo,2,0.005168359304338838
Engkus Kusnadi,2,0.005168359304338838
Muhammad Farid Khiyari,2,0.005168359304338838
Ismail,2,0.005168359304338838
DenSu,2,0.005168359304338838
Bambang Saputra,2,0.005168359304338838
Ida Samidah,2,0.005168359304338838
Andre Aditya,2,0.005168359304338838
rudi hanpala,2,0.005168359304338838
Aladin Adin,2,0.005168359304338838
benito carbone,2,0.005168359304338838
Ambu Hanjuang,2,0.005168359304338838
Kang Iwan tea kang iwan tea,2,0.005168359304338838
Anggit Surindra (Anggit),2,0.005168359304338838
MARJIN CHANEL,2,0.005168359304338838
Ares Legion,2,0.005168359304338838
harris mulyana,2,0.005168359304338838
Fariq Warman,2,0.005168359304338838
sari oktavira,2,0.005168359304338838
Beben Beni,2,0.005168359304338838
Nha Pratama,2,0.005168359304338838
Abdul Hakim08,2,0.005168359304338838
Ahmad Rifa'i,2,0.005168359304338838
Siti Aminah,2,0.005168359304338838
samadi san,2,0.005168359304338838
zhioo skay,2,0.005168359304338838
Dedi Rohendi,2,0.005168359304338838
SSAG OFFICIAL,2,0.005168359304338838
Boan Angot,2,0.005168359304338838
Ari Destriani,2,0.005168359304338838
gilang jayni suryana,2,0.005168359304338838
Inas Hilmiana,2,0.005168359304338838
Siti Nurhalimah,2,0.005168359304338838
Faisal Birkund,2,0.005168359304338838
Wida Ningsih,2,0.005168359304338838
Lintang Nauval abbyyu,2,0.005168359304338838
Dhie Abdilah,2,0.005168359304338838
Maryam Al Fithriyah,2,0.005168359304338838
Ahmed Safei,2,0.005168359304338838
Iraone 77,2,0.005168359304338838
DUKUN Channel,2,0.005168359304338838
Abah Dadi,2,0.005168359304338838
S wangi,2,0.005168359304338838
Meidawati,2,0.005168359304338838
Ayub Yub,2,0.005168359304338838
Aditya Ilham,2,0.005168359304338838
Yulistria Anggraini,2,0.005168359304338838
RMSDM Nielsen,2,0.005168359304338838
koko Dadan Lee,2,0.005168359304338838
yyr,2,0.005168359304338838
Hena Triwardani,2,0.005168359304338838
Naufal Septian Adinugraha,2,0.005168359304338838
Seny Amira,2,0.005168359304338838
Bana Subana,2,0.005168359304338838
Anies Heriyanto,2,0.005168359304338838
Review Sana Sini,2,0.005168359304338838
Yuyun Budiyanti,2,0.005168359304338838
Ulfa Suciyanti,2,0.005168359304338838
Bangkit dari Kuburs,2,0.005168359304338838
Ayu Cahyani,2,0.005168359304338838
gilby,2,0.005168359304338838
Rizki Setiawan,2,0.005168359304338838
Widya Annastasya,2,0.005168359304338838
Ami Sungkar,2,0.005168359304338838
alfiyan tabligh,2,0.005168359304338838
EL Lid,2,0.005168359304338838
Theodorus Gunawan,2,0.005168359304338838
KAKA MINHAJ,2,0.005168359304338838
eka rahayu,2,0.005168359304338838
Arief Firmansyah,2,0.005168359304338838
